2025-12-13 22:10:19,815 INFO     DataManager: Connected to PLC 127.0.0.1
2025-12-13 22:10:19,822 INFO     ScadaHMI dataMgr inited
2025-12-13 22:10:22,774 INFO     DataManager: get PLC information
2025-12-13 22:10:25,268 INFO     DataManager: get PLC information
2025-12-13 22:10:27,771 INFO     DataManager: get PLC information
2025-12-13 22:10:27,804 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:10:30,270 INFO     DataManager: get PLC information
2025-12-13 22:10:32,765 INFO     DataManager: get PLC information
2025-12-13 22:10:34,789 INFO     DataManager: get PLC information
2025-12-13 22:10:34,900 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:10:37,281 INFO     DataManager: get PLC information
2025-12-13 22:10:39,283 INFO     DataManager: get PLC information
2025-12-13 22:10:41,284 INFO     DataManager: get PLC information
2025-12-13 22:10:41,316 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:10:43,290 INFO     DataManager: get PLC information
2025-12-13 22:10:45,787 INFO     DataManager: get PLC information
2025-12-13 22:10:47,793 INFO     DataManager: get PLC information
2025-12-13 22:10:47,880 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:10:50,290 INFO     DataManager: get PLC information
2025-12-13 22:10:52,786 INFO     DataManager: get PLC information
2025-12-13 22:10:55,283 INFO     DataManager: get PLC information
2025-12-13 22:10:55,344 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:10:57,289 INFO     DataManager: get PLC information
2025-12-13 22:10:59,786 INFO     DataManager: get PLC information
2025-12-13 22:11:02,283 INFO     DataManager: get PLC information
2025-12-13 22:11:02,338 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:11:04,787 INFO     DataManager: get PLC information
2025-12-13 22:11:07,285 INFO     DataManager: get PLC information
2025-12-13 22:11:09,291 INFO     DataManager: get PLC information
2025-12-13 22:11:09,425 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:11:11,784 INFO     DataManager: get PLC information
2025-12-13 22:11:14,285 INFO     DataManager: get PLC information
2025-12-13 22:11:16,293 INFO     DataManager: get PLC information
2025-12-13 22:11:16,430 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
2025-12-13 22:11:18,787 INFO     DataManager: get PLC information
2025-12-13 22:11:21,282 INFO     DataManager: get PLC information
2025-12-13 22:11:23,785 INFO     DataManager: get PLC information
2025-12-13 22:11:23,845 INFO     DataManager: set PLC coil:('PLC-00', 19, False)
