2025-04-04 21:03:15,746 INFO     Start Init the PLC: PLC-01
2025-04-04 21:03:15,747 INFO     Try to connnect to the realword [('127.0.0.1', 3001)]...
2025-04-04 21:03:15,748 INFO     Realworld emulator online, state: ready
2025-04-04 21:03:15,748 INFO     Login the realworld successfully
2025-04-04 21:03:15,749 INFO     ModbusTCP service thread run() start.
2025-04-04 21:03:15,749 INFO     Finished init the PLC: PLC-01
2025-04-04 21:03:15,749 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:15,960 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:15,963 INFO     Finished calculate all coils: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2025-04-04 21:03:16,773 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:16,980 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:17,791 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:17,994 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:18,811 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:19,015 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:19,835 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:20,036 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:20,849 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:21,051 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:21,862 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:22,064 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:22,877 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:23,092 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:23,902 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:24,106 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:24,922 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:25,139 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:25,961 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:26,166 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:26,979 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:27,181 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:28,006 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:28,208 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:29,029 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:29,233 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:30,041 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:30,243 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:31,067 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:31,271 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:32,076 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:32,282 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:33,092 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:33,296 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:34,107 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:34,311 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:35,121 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-04 21:03:35,327 INFO     updateModBusInfo(): update holding registers: [1, 1, True, True, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, 1, True, 1, True, 1, 1]
2025-04-04 21:03:36,151 WARNING  The reply type doesnt match.('powerPlc', 'switches')
