2025-03-28 11:33:52,633 INFO     Start Init the PLC: PLC-01
2025-03-28 11:33:52,634 INFO     Try to connnect to the realword [('127.0.0.1', 3001)]...
2025-03-28 11:33:52,635 INFO     Realworld emulator online, state: ready
2025-03-28 11:33:52,635 INFO     Login the realworld successfully
2025-03-28 11:33:52,635 INFO     ModbusTCP service thread run() start.
2025-03-28 11:33:52,635 INFO     Finished init the PLC: PLC-01
2025-03-28 11:33:52,636 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:52,837 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:33:52,840 INFO     Finished calculate all coils: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2025-03-28 11:33:53,659 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:53,860 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:33:54,666 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:54,867 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:33:55,674 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:55,875 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:33:56,681 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:56,882 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:33:57,689 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:57,890 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:33:58,696 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:58,897 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:33:59,703 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:33:59,904 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:00,711 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:00,927 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:01,733 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:01,934 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:02,741 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:02,942 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:03,748 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:03,949 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:04,756 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:04,957 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:05,763 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:05,964 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:06,771 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:06,972 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:07,778 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:07,979 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:08,786 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:08,986 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:09,793 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:09,994 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:10,800 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:11,001 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:11,808 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:12,009 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:12,815 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:13,016 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:13,823 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:14,024 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:14,831 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:15,047 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:15,854 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:16,054 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:16,861 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:17,062 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:17,869 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:18,085 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:18,892 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:19,093 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:19,900 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:20,116 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:20,922 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:21,123 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:21,930 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:22,131 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:22,937 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:23,138 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:23,945 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:24,146 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:24,952 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-03-28 11:34:25,153 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
2025-03-28 11:34:25,960 WARNING  The reply type doesnt match.('powerPlc', 'switches')
